state_gid,state_name,name,station_id,lattitude,longitude,predictions
17,Maine,Little Deer Isle,8414424,+44.2917,-68.6933,Subordinate
17,Maine,Isle Au Haut,8414288,+44.0733,-68.6367,Subordinate
17,Maine,"OCEANVILLE, DEER ISLE",8414249,+44.1923,-68.6209,Harmonic
17,Maine,"Stonington, Deer Isle",8414348,+44.1533,-68.6617,Subordinate
17,Maine,"Matinicus Harbor, Wheaton Island",8414876,+43.8617,-68.8817,Subordinate
17,Maine,"Vinalhaven, Vinalhaven Island",8414776,+44.0433,-68.8400,Subordinate
17,Maine,North Haven,8414856,+44.1267,-68.8733,Subordinate
17,Maine,Castine,8414672,+44.3867,-68.7967,Subordinate
17,Maine,"PULPIT HARBOR, NORTH HAVEN ISLAND",8414888,+44.1567,-68.8867,Harmonic
17,Maine,FORT POINT,8414721,+44.4717,-68.8133,Harmonic
17,Maine,"Gross Point, Eastern Channel",8414581,+44.5367,-68.7583,Subordinate
17,Maine,Bucksport,8414684,+44.5717,-68.8017,Subordinate
17,Maine,Winterport,8414781,+44.6367,-68.8417,Subordinate
17,Maine,Sandy Point,8414692,+44.5050,-68.8050,Subordinate
17,Maine,BANGOR,8414612,+44.7850,-68.7667,Harmonic
17,Maine,Belfast,8415191,+44.4267,-69.0050,Subordinate
17,Maine,ROCKLAND,8415490,+44.1050,-69.1017,Harmonic
17,Maine,Tenants Harbor,8415809,+43.9650,-69.2167,Subordinate
17,Maine,Monhegan Island,8416092,+43.7650,-69.3217,Subordinate
17,Maine,"Burnt Island, Georges Islands",8416028,+43.8717,-69.2950,Subordinate
17,Maine,Port Clyde,8415933,+43.9250,-69.2600,Subordinate
17,Maine,Otis Cove,8415867,+43.9867,-69.2367,Subordinate
17,Maine,THOMASTON,8415709,+44.0717,-69.1817,Harmonic
17,Maine,"New Harbor, Muscongus Bay",8416501,+43.8750,-69.4917,Subordinate
17,Maine,"Muscongus Harbor, Muscongus Sound",8416381,+43.9667,-69.4417,Subordinate
17,Maine,Friendship Harbor,8416141,+43.9700,-69.3417,Subordinate
17,Maine,"Pemaquid Harbor, Johns Bay",8416581,+43.8767,-69.5250,Subordinate
17,Maine,Jones Neck,8416232,+44.0150,-69.3800,Subordinate
17,Maine,Waldoboro,8416224,+44.0933,-69.3767,Subordinate
17,Maine,East Boothbay,8416721,+43.8650,-69.5833,Subordinate
17,Maine,WALPOLE,8416731,+43.9333,-69.5800,Harmonic
17,Maine,Newcastle,8416608,+44.0333,-69.5367,Subordinate
17,Maine,"Damariscove Harbor, Damariscove Island",8416796,+43.7583,-69.6150,Subordinate
17,Maine,Boothbay Harbor,8416828,+43.8500,-69.6283,Subordinate
17,Maine,"Southport, Townsend Gut",8416908,+43.8467,-69.6617,Subordinate
17,Maine,Isle of Springs,8416968,+43.8600,-69.6867,Subordinate
17,Maine,Cross River entrance,8416928,+43.9250,-69.6700,Subordinate
17,Maine,Wiscasset,8416921,+44.0000,-69.6667,Subordinate
17,Maine,Sheepscot (below rapids),8416804,+44.0500,-69.6183,Subordinate
17,Maine,Back River,8416961,+43.9583,-69.6833,Subordinate
17,Maine,"Robinhood, Sasanoa River",8417067,+43.8533,-69.7333,Subordinate
17,Maine,"Mill Point, Sasanoa River",8417127,+43.8867,-69.7633,Subordinate
17,Maine,HUNNIWELL POINT,8417177,+43.7550,-69.7850,Harmonic
17,Maine,Phippsburg,8417221,+43.8183,-69.8100,Subordinate
17,Maine,BATH,8417227,+43.9250,-69.8150,Harmonic
17,Maine,"Sturgeon Island, Merrymeeting Bay",8417271,+43.9817,-69.8350,Subordinate
17,Maine,Androscoggin River entrance,8417377,+43.9500,-69.8883,Subordinate
17,Maine,"Brunswick, Androscoggin River",8417527,+43.9217,-69.9633,Subordinate
17,Maine,"Bowdoinham, Cathance River",8417391,+44.0083,-69.8950,Subordinate
17,Maine,"Cundy Harbor, New Meadows River",8417387,+43.7883,-69.8933,Subordinate
17,Maine,"Howard Point, New Meadows River",8417367,+43.8900,-69.8833,Subordinate
17,Maine,"South Harpswell, Potts Harbor",8417647,+43.7383,-70.0233,Subordinate
17,Maine,"Wilson Cove, Middle Bay",8417553,+43.8250,-69.9767,Subordinate
17,Maine,South Freeport,8417801,+43.8200,-70.1033,Subordinate
17,Maine,Prince Point,8417948,+43.7617,-70.1733,Subordinate
17,Maine,Doyle Point,8417874,+43.7517,-70.1400,Subordinate
17,Maine,Falmouth Foreside,8418015,+43.7317,-70.2050,Subordinate
17,Maine,Great Chebeague Island,8417881,+43.7217,-70.1417,Subordinate
17,Maine,"Cliff Island, Luckse Sound",8417821,+43.6950,-70.1100,Subordinate
17,Maine,Vaill Island,8417911,+43.6767,-70.1550,Subordinate
17,Maine,Long Island,8417941,+43.6900,-70.1700,Subordinate
17,Maine,Cow Island,8418009,+43.6900,-70.1900,Subordinate
17,Maine,Presumpscot River Bridge,8418137,+43.6867,-70.2467,Subordinate
17,Maine,Back Cove,8418175,+43.6767,-70.2550,Subordinate
17,Maine,Great Diamond Island,8417988,+43.6700,-70.2000,Subordinate
17,Maine,Peak Island,8418001,+43.6550,-70.2000,Subordinate
17,Maine,Cushing Island,8417997,+43.6450,-70.1983,Subordinate
17,Maine,PORTLAND,8418150,+43.6567,-70.2467,Harmonic
17,Maine,Fore River,8418268,+43.6417,-70.2850,Subordinate
17,Maine,Portland Head Light,8418031,+43.6233,-70.2067,Subordinate
17,Maine,PINE POINT,8418445,+43.5450,-70.3333,Harmonic
17,Maine,Old Orchard Beach,8418557,+43.5167,-70.3667,Subordinate
17,Maine,"CAMP ELLIS, SACO RIVER ENTRANCE",8418606,+43.4617,-70.3817,Harmonic
17,Maine,"BIDDEFORD, SACO RIVER",8418828,+43.4917,-70.4467,Harmonic
17,Maine,Cape Porpoise,8418772,+43.3667,-70.4317,Subordinate
17,Maine,KENNEBUNKPORT,8418911,+43.3583,-70.4767,Harmonic
17,Maine,WELLS,8419317,+43.3200,-70.5633,Harmonic
17,Maine,Cape Neddick,8419399,+43.1667,-70.5933,Subordinate
17,Maine,York Harbor,8419518,+43.1317,-70.6417,Subordinate
17,Maine,"Fort Point, York Harbor",8419528,+43.1300,-70.6383,Subordinate
17,Maine,"Seapoint, Cutts Island",8419590,+43.0850,-70.6617,Subordinate
33,New Hampshire,Jaffrey Point,8424601,+43.0567,-70.7133,Subordinate
33,New Hampshire,Gerrish Island,8419688,+43.0667,-70.6967,Subordinate
33,New Hampshire,FORT POINT,8423898,+43.0717,-70.7117,Harmonic
33,New Hampshire,Kittery Point,8419807,+43.0817,-70.7033,Subordinate
33,New Hampshire,SEAVEY ISLAND,8419870,+43.0800,-70.7417,Harmonic
33,New Hampshire,Portsmouth,8423745,+43.0783,-70.7517,Subordinate
33,New Hampshire,Atlantic Heights,8423635,+43.0900,-70.7633,Subordinate
33,New Hampshire,Dover Point,8421897,+43.1217,-70.8333,Subordinate
33,New Hampshire,"DOVER, COCHECO RIVER",8420411,+43.1983,-70.8683,Harmonic
33,New Hampshire,Salmon Falls River,8419997,+43.1917,-70.8250,Subordinate
33,New Hampshire,Squamscott River RR. Bridge,8422687,+43.0533,-70.9133,Subordinate
33,New Hampshire,"Gosport Harbor, Isles of Shoals",8427031,+42.9783,-70.6150,Subordinate
33,New Hampshire,Hampton Harbor,8429489,+42.8950,-70.8167,Subordinate
37,Massachusetts,"PLUM ISLAND, MERRIMACK RIVER ENTRANCE",8440452,+42.8167,-70.8200,Harmonic
37,Massachusetts,NEWBURYPORT,8440466,+42.8150,-70.8733,Harmonic
37,Massachusetts,SALISBURY POINT,8440273,+42.8383,-70.9083,Harmonic
37,Massachusetts,MERRIMACPORT,8440369,+42.8250,-70.9883,Harmonic
37,Massachusetts,RIVERSIDE,8440889,+42.7633,-71.0767,Harmonic
37,Massachusetts,PLUM ISLAND SOUTH,8441241,+42.7101,-70.7886,Harmonic
37,Massachusetts,ESSEX,8441771,+42.6317,-70.7767,Harmonic
37,Massachusetts,"Annisquam, Lobster Cove",8441571,+42.6550,-70.6767,Subordinate
37,Massachusetts,ROCKPORT,8441551,+42.6583,-70.6150,Harmonic
37,Massachusetts,Gloucester Harbor,8441841,+42.6100,-70.6600,Subordinate
37,Massachusetts,"SALEM, SALEM HARBOR",8442645,+42.5233,-70.8767,Harmonic
37,Massachusetts,"LYNN, LYNN HARBOR",8443187,+42.4583,-70.9433,Harmonic
37,Massachusetts,BOSTON LIGHT,8444162,+42.3283,-70.8917,Harmonic
37,Massachusetts,Deer Island (south end),8444012,+42.3483,-70.9600,Subordinate
37,Massachusetts,BOSTON,8443970,+42.3548,-71.0534,Harmonic
37,Massachusetts,"Charlestown, Charles River entrance",8443838,+42.3717,-71.0550,Subordinate
37,Massachusetts,"AMELIA EARHART DAM, MYSTIC RIVER",8443662,+42.3950,-71.0767,Harmonic
37,Massachusetts,CHELSEA,8443725,+42.3867,-71.0233,Harmonic
37,Massachusetts,"Neponset, Neponset River",8444488,+42.2850,-71.0400,Subordinate
37,Massachusetts,Moon Head,8444312,+42.3083,-70.9917,Subordinate
37,Massachusetts,NUT ISLAND,8444525,+42.2800,-70.9533,Harmonic
37,Massachusetts,WEYMOUTH FORE RIVER,8444788,+42.2483,-70.9667,Harmonic
37,Massachusetts,"Crow Point, Hingham Harbor entrance",8444662,+42.2617,-70.8933,Subordinate
37,Massachusetts,Hingham,8444775,+42.2467,-70.8850,Subordinate
37,Massachusetts,"Nantasket Beach, Weir River",8444601,+42.2700,-70.8600,Subordinate
37,Massachusetts,Hull,8444351,+42.3033,-70.9200,Subordinate
37,Massachusetts,Cohasset Harbor (White Head),8444762,+42.2483,-70.7850,Subordinate
37,Massachusetts,"SCITUATE, SCITUATE HARBOR",8445138,+42.2017,-70.7267,Harmonic
37,Massachusetts,"Damons Point, North River",8445425,+42.1600,-70.7333,Subordinate
37,Massachusetts,"BRANT ROCK, GREEN HARBOR RIVER",8446009,+42.0833,-70.6467,Harmonic
37,Massachusetts,"DUXBURY, DUXBURY HARBOR",8446166,+42.0383,-70.6700,Harmonic
37,Massachusetts,PLYMOUTH,8446493,+41.9600,-70.6617,Harmonic
37,Massachusetts,"SAGAMORE, CAPE COD CANAL (STA. 115)",8447173,+41.7750,-70.5350,Harmonic
37,Massachusetts,"BOURNEDALE, CAPE COD CANAL (STA. 200)",8447191,+41.7700,-70.5617,Harmonic
37,Massachusetts,"BOURNE BRIDGE, CAPE COD CANAL (STA. 320)",8447259,+41.7450,-70.5933,Harmonic
37,Massachusetts,SANDWICH,8447180,+41.7717,-70.5067,Harmonic
37,Massachusetts,"Barnstable Harbor, Beach Point",8447335,+41.7217,-70.2850,Subordinate
37,Massachusetts,"SESUIT HARBOR, EAST DENNIS",8447241,+41.7517,-70.1550,Harmonic
37,Massachusetts,Wellfleet,8446613,+41.9300,-70.0417,Subordinate
37,Massachusetts,PROVINCETOWN,8446121,+42.0496,-70.1822,Harmonic
37,Massachusetts,"CHATHAM, STAGE HARBOR",8447505,+41.6667,-69.9667,Harmonic
37,Massachusetts,CHATHAM,8447435,+41.6885,-69.9511,Harmonic
37,Massachusetts,Pleasant Bay,8447291,+41.7367,-69.9817,Subordinate
37,Massachusetts,"Georges Shoal, Texas Tower",8447436,+41.6883,-67.7600,Subordinate
37,Massachusetts,SAQUATUCKET HARBOR,8447495,+41.6683,-70.0567,Harmonic
37,Massachusetts,Wychmere Harbor,8447506,+41.6650,-70.0650,Subordinate
37,Massachusetts,Dennisport,8447525,+41.6583,-70.1150,Subordinate
37,Massachusetts,"South Yarmouth, Bass River",8447504,+41.6650,-70.1833,Subordinate
37,Massachusetts,HYANNIS PORT,8447605,+41.6317,-70.3000,Harmonic
37,Massachusetts,Cotuit Highlands,8447675,+41.6083,-70.4367,Subordinate
37,Massachusetts,"Poponesset Island, Poponesset Bay",8447742,+41.5867,-70.4633,Subordinate
37,Massachusetts,Falmouth Heights,8447865,+41.5450,-70.5933,Subordinate
37,Massachusetts,Great Point,8448566,+41.3867,-70.0467,Subordinate
37,Massachusetts,NANTUCKET ISLAND,8449130,+41.2850,-70.0967,Harmonic
37,Massachusetts,Eel Point,8449062,+41.2917,-70.2083,Subordinate
37,Massachusetts,"Muskeget Island, north side",8448817,+41.3367,-70.3050,Subordinate
37,Massachusetts,"Wasque Point, Chappaquiddick Island",8448683,+41.3633,-70.4500,Subordinate
37,Massachusetts,Squibnocket Point,8448942,+41.3117,-70.7683,Subordinate
37,Massachusetts,Nomans Land,8449287,+41.2617,-70.8183,Subordinate
37,Massachusetts,Gay Head,8448733,+41.3533,-70.8300,Subordinate
37,Massachusetts,Cedar Tree Neck,8448325,+41.4350,-70.6967,Subordinate
37,Massachusetts,"VINEYARD HAVEN, VINEYARD HVN HBR",8448157,+41.4583,-70.6000,Harmonic
37,Massachusetts,Oak Bluffs,8448208,+41.4583,-70.5550,Subordinate
37,Massachusetts,EDGARTOWN,8448558,+41.3883,-70.5117,Harmonic
37,Massachusetts,Little Harbor,8447939,+41.5200,-70.6650,Subordinate
37,Massachusetts,WOODS HOLE,8447930,+41.5233,-70.6717,Harmonic
37,Massachusetts,Uncatena Island (south side),8447941,+41.5200,-70.7083,Subordinate
37,Massachusetts,Quick's Hole,8448251,+41.4483,-70.8567,Subordinate
37,Massachusetts,Cuttyhunk,8448376,+41.4250,-70.9167,Subordinate
37,Massachusetts,PENIKESE ISLAND,8448248,+41.4500,-70.9217,Harmonic
37,Massachusetts,CHAPPAQUOIT POINT,8447685,+41.6050,-70.6517,Harmonic
37,Massachusetts,Monument Beach,8447355,+41.7150,-70.6167,Subordinate
37,Massachusetts,GRAY GABLES,8447295,+41.7350,-70.6233,Harmonic
37,Massachusetts,BUZZARDS BAY,8447270,+41.7417,-70.6167,Harmonic
37,Massachusetts,"Onset Beach, Onset Bay",8447277,+41.7417,-70.6583,Subordinate
37,Massachusetts,GREAT HILL,8447368,+41.7117,-70.7150,Harmonic
37,Massachusetts,"Marion, Sippican Harbor",8447385,+41.7050,-70.7617,Subordinate
37,Massachusetts,PINEY POINT,8447416,+41.6950,-70.7200,Harmonic
37,Massachusetts,"Mattapoisett, Mattapoisett Harbor",8447531,+41.6567,-70.8133,Subordinate
37,Massachusetts,CLARKS POINT,8447712,+41.5933,-70.9000,Harmonic
37,Massachusetts,New Bedford,8447584,+41.6400,-70.9183,Subordinate
37,Massachusetts,ROUND HILL POINT,8447842,+41.5383,-70.9283,Harmonic
37,Massachusetts,Westport Harbor,8447975,+41.5083,-71.0933,Subordinate
37,Massachusetts,"Hix Bridge, East Branch",8447791,+41.5700,-71.0733,Subordinate
52,Rhode Island,Sakonnet,8450768,+41.4650,-71.1933,Subordinate
52,Rhode Island,"Sachuest, Flint Point",8451351,+41.4867,-71.2383,Subordinate
52,Rhode Island,The Glen,8451301,+41.5583,-71.2367,Subordinate
52,Rhode Island,Nannaquaket Neck,8450954,+41.6183,-71.2033,Subordinate
52,Rhode Island,Anthony Point,8450948,+41.6383,-71.2117,Subordinate
52,Rhode Island,"North End, Bay Oil pier",8450898,+41.6517,-71.2100,Subordinate
52,Rhode Island,Castle Hill,8453201,+41.4633,-71.3617,Subordinate
52,Rhode Island,NEWPORT,8452660,+41.5050,-71.3267,Harmonic
52,Rhode Island,Beavertail Point,8453999,+41.4517,-71.4017,Subordinate
52,Rhode Island,"WEST JAMESTOWN, DUTCH ISLAND HARBOR",8453742,+41.4967,-71.3867,Harmonic
52,Rhode Island,Conanicut Point,8453465,+41.5733,-71.3717,Subordinate
52,Rhode Island,"Prudence Island, (south end)",8452555,+41.5800,-71.3217,Subordinate
52,Rhode Island,BRISTOL FERRY,8451552,+41.6367,-71.2550,Harmonic
52,Rhode Island,"Bristol, Bristol Harbor",8451929,+41.6683,-71.2800,Subordinate
52,Rhode Island,Bristol Highlands,8452154,+41.6967,-71.2933,Subordinate
52,Rhode Island,FALL RIVER,8447386,+41.7043,-71.1641,Harmonic
52,Rhode Island,"Steep Brook, Taunton River",8447281,+41.7400,-71.1317,Subordinate
52,Rhode Island,"Bay Spring, Bullock Cove",8453033,+41.7517,-71.3517,Subordinate
52,Rhode Island,"Pawtuxet, Pawtuxet Cove",8453767,+41.7617,-71.3883,Subordinate
52,Rhode Island,PROVIDENCE,8454000,+41.8071,-71.4012,Harmonic
52,Rhode Island,"Rumford, Seekonk River",8453433,+41.8400,-71.3733,Subordinate
52,Rhode Island,"Pawtucket, Seekonk River",8453611,+41.8683,-71.3800,Subordinate
52,Rhode Island,East Greenwich,8454578,+41.6650,-71.4450,Subordinate
52,Rhode Island,WICKFORD,8454538,+41.5717,-71.4450,Harmonic
52,Rhode Island,"Watson Pier, Boston Neck",8454341,+41.4600,-71.4283,Subordinate
52,Rhode Island,Narragansett Pier,8454658,+41.4217,-71.4550,Subordinate
52,Rhode Island,"POINT JUDITH, HARBOR OF REFUGE",8455083,+41.3633,-71.4900,Harmonic
52,Rhode Island,BLOCK ISLAND,8459338,+41.1733,-71.5567,Harmonic
52,Rhode Island,BLOCK ISLAND,8459681,+41.1633,-71.6100,Harmonic
52,Rhode Island,"WEEKAPAUG POINT, BLOCK ISLAND SOUND",8458022,+41.3283,-71.7617,Harmonic
52,Rhode Island,Watch Hill Point,8458694,+41.3050,-71.8600,Subordinate
52,Rhode Island,"Westerly, Pawcatuck River",8455189,+41.3817,-71.8317,Subordinate
57,Connecticut,SILVER EEL POND,8510719,+41.2567,-72.0300,Harmonic
57,Connecticut,NEW LONDON,8461490,+41.3614,-72.0900,Harmonic
57,Connecticut,Yale boathouse,8461467,+41.4300,-72.0933,Subordinate
57,Connecticut,Norwich,8461392,+41.5233,-72.0783,Subordinate
57,Connecticut,"Niantic, Niantic River",8461925,+41.3250,-72.1867,Subordinate
57,Connecticut,Saybrook Jetty,8462723,+41.2633,-72.3433,Subordinate
57,Connecticut,Saybrook Point,8462752,+41.2833,-72.3500,Subordinate
57,Connecticut,"Lyme, highway bridge",8462764,+41.3217,-72.3500,Subordinate
57,Connecticut,Essex,8462925,+41.3483,-72.3850,Subordinate
57,Connecticut,Hadlyme,8463155,+41.4200,-72.4283,Subordinate
57,Connecticut,Tylerville,8463348,+41.4517,-72.4650,Subordinate
57,Connecticut,Haddam,8463582,+41.4817,-72.5067,Subordinate
57,Connecticut,Higganum Creek,8463836,+41.5033,-72.5533,Subordinate
57,Connecticut,Maromas,8463827,+41.5417,-72.5517,Subordinate
57,Connecticut,Middletown,8464336,+41.5600,-72.6450,Subordinate
57,Connecticut,Rocky Hill,8464255,+41.6633,-72.6300,Subordinate
57,Connecticut,South Hartford,8464418,+41.7550,-72.6583,Subordinate
57,Connecticut,Hartford,8464464,+41.7700,-72.6683,Subordinate
57,Connecticut,"Westbrook, Duck Island Roads",8463409,+41.2733,-72.4750,Subordinate
57,Connecticut,CLINTON HARBOR,8463701,+41.2683,-72.5317,Harmonic
57,Connecticut,Madison,8464041,+41.2700,-72.5900,Subordinate
57,Connecticut,Guilford Harbor,8464445,+41.2717,-72.6667,Subordinate
57,Connecticut,Sachem Head,8464687,+41.2450,-72.7083,Subordinate
57,Connecticut,"Branford, Branford River",8465233,+41.2617,-72.8183,Subordinate
57,Connecticut,"Lighthouse Point, New Haven Harbor",8465692,+41.2517,-72.9050,Subordinate
57,Connecticut,NEW HAVEN,8465705,+41.2833,-72.9083,Harmonic
57,Connecticut,Gulf Beach,8466375,+41.2050,-73.0417,Subordinate
57,Connecticut,Milford Harbor,8466442,+41.2183,-73.0550,Subordinate
57,Connecticut,Sniffens Point,8466791,+41.1867,-73.1133,Subordinate
57,Connecticut,"Stratford, I-95 bridge",8466797,+41.2033,-73.1117,Subordinate
57,Connecticut,Long Hill,8466664,+41.2750,-73.0883,Subordinate
57,Connecticut,Shelton,8466573,+41.3017,-73.0717,Subordinate
57,Connecticut,BRIDGEPORT,8467150,+41.1733,-73.1817,Harmonic
57,Connecticut,BLACK ROCK HARBOR,8467373,+41.1567,-73.2133,Harmonic
57,Connecticut,"SOUTHPORT, SOUTHPORT HARBOR",8467726,+41.1333,-73.2833,Harmonic
57,Connecticut,SOUTH NORWALK,8468448,+41.0967,-73.4150,Harmonic
57,Connecticut,"Rowayton, Fivemile River",8468609,+41.0650,-73.4450,Subordinate
57,Connecticut,LONG NECK POINT,8468799,+41.0383,-73.4800,Harmonic
57,Connecticut,Stamford,8469198,+41.0383,-73.5467,Subordinate
57,Connecticut,Cos Cob Harbor,8469549,+41.0167,-73.5967,Subordinate
62,New York,RYE BEACH,8518091,+40.9617,-73.6717,Harmonic
62,New York,New Rochelle,8518490,+40.8933,-73.7817,Subordinate
62,New York,Throggs Neck,8518526,+40.8050,-73.7950,Subordinate
62,New York,Whitestone,8517125,+40.7983,-73.8133,Subordinate
62,New York,"College Point, Flushing Bay",8517276,+40.7833,-73.8567,Subordinate
62,New York,Hunts Point,8518621,+40.8000,-73.8733,Subordinate
62,New York,North Brother Island,8518635,+40.7983,-73.8983,Subordinate
62,New York,PORT MORRIS,8518639,+40.8017,-73.9067,Harmonic
62,New York,"Hell Gate, Wards Island",8517401,+40.7867,-73.9217,Subordinate
62,New York,HORNS HOOK,8518668,+40.7767,-73.9417,Harmonic
62,New York,QUEENSBORO BRIDGE,8518687,+40.7583,-73.9583,Harmonic
62,New York,"East 41st Street, New York City",8518695,+40.7467,-73.9683,Subordinate
62,New York,"Hunters Point, Newtown Creek",8517673,+40.7400,-73.9617,Subordinate
62,New York,WILLIAMSBURG BRIDGE,8518699,+40.7117,-73.9683,Harmonic
62,New York,"Wallabout Bay, Brooklyn Navy Yard",8517732,+40.7067,-73.9750,Subordinate
62,New York,BROOKLYN BRIDGE,8517847,+40.7033,-73.9950,Harmonic
62,New York,Randalls Island,8518643,+40.8000,-73.9283,Subordinate
62,New York,WILLETS POINT,8516990,+40.7933,-73.7817,Harmonic
62,New York,KINGS POINT,8516945,+40.8103,-73.7649,Harmonic
62,New York,"PORT WASHINGTON, MANHASSET BAY",8516761,+40.8317,-73.7033,Harmonic
62,New York,"GLEN COVE, HEMPSTEAD HARBOR",8516614,+40.8633,-73.6550,Harmonic
62,New York,Oyster Bay Harbor,8516201,+40.8667,-73.5167,Subordinate
62,New York,BAYVILLE BRIDGE,8516299,+40.9033,-73.5500,Harmonic
62,New York,COLD SPRING HARBOR,8516061,+40.8733,-73.4700,Harmonic
62,New York,EATONS NECK,8515786,+40.9533,-73.4000,Harmonic
62,New York,"LLOYD HARBOR, HUNTINGTON BAY",8515921,+40.9100,-73.4317,Harmonic
62,New York,"NORTHPORT, NORTHPORT BAY",8515586,+40.9000,-73.3533,Harmonic
62,New York,Port Jefferson Harbor entrance,8514594,+40.9717,-73.0917,Subordinate
62,New York,Port Jefferson,8514560,+40.9500,-73.0767,Subordinate
62,New York,CEDAR BEACH,8514422,+40.9650,-73.0433,Harmonic
62,New York,Mount Sinai Harbor,8514421,+40.9633,-73.0400,Subordinate
62,New York,NORTHVILLE,8512987,+40.9817,-72.6450,Harmonic
62,New York,"MATTITUCK INLET, LONG ISLAND",8512668,+41.0150,-72.5617,Harmonic
62,New York,Hashamomuck Beach,8512053,+41.0950,-72.3983,Subordinate
62,New York,"PLUM GUT HARBOR, PLUM ISLAND",8511236,+41.1717,-72.2050,Harmonic
62,New York,Little Gull Island,8510884,+41.2067,-72.1017,Subordinate
62,New York,ORIENT HARBOR,8511671,+41.1367,-72.3067,Harmonic
62,New York,Greenport,8511907,+41.1010,-72.3612,Subordinate
62,New York,Southold,8512114,+41.0600,-72.4133,Subordinate
62,New York,Noyack Bay,8511779,+40.9950,-72.3317,Subordinate
62,New York,Sag Harbor,8511629,+41.0033,-72.2967,Subordinate
62,New York,New Suffolk,8512328,+40.9917,-72.4717,Subordinate
62,New York,SOUTH JAMESPORT,8512735,+40.9350,-72.5817,Harmonic
62,New York,"Threemile Harbor entrance, Gardiners Bay",8511171,+41.0350,-72.1900,Subordinate
62,New York,LAKE MONTAUK,8510448,+41.0733,-71.9350,Harmonic
62,New York,Montauk Harbor entrance,8510502,+41.0750,-71.9367,Subordinate
62,New York,MONTAUK,8510560,+41.0483,-71.9600,Harmonic
62,New York,SHINNECOCK INLET OPEN COAST,8512354,+40.8367,-72.4800,Subordinate
62,New York,Shinnecock Bay,8512671,+40.8200,-72.5617,Subordinate
62,New York,PONQUOGUE POINT,8512451,+40.8500,-72.5033,Subordinate
62,New York,"SHINNECOCK YACHT CLUB, PENNIMAN CREEK",8512769,+40.8186,-72.5866,Harmonic
62,New York,Moriches Inlet,8513387,+40.7650,-72.7533,Subordinate
62,New York,Moriches Coast Guard Station,8513388,+40.7867,-72.7500,Subordinate
62,New York,"SMITH POINT BRIDGE, NARROW BAY",8513825,+40.7383,-72.8683,Harmonic
62,New York,"Democrat Point, Fire Island Inlet",8515228,+40.6333,-73.2933,Subordinate
62,New York,Fire Island,8515186,+40.6267,-73.2600,Subordinate
62,New York,Fire Island Light,8515014,+40.6350,-73.2200,Subordinate
62,New York,West Fire Island,8514961,+40.6567,-73.2050,Subordinate
62,New York,Point o' Woods,8514733,+40.6517,-73.1367,Subordinate
62,New York,PATCHOGUE,8514322,+40.7500,-73.0000,Harmonic
62,New York,"Great River, Connetquot River",8514783,+40.7233,-73.1517,Subordinate
62,New York,"Bay Shore, Watchogue Creek Entrance",8515102,+40.7167,-73.2400,Subordinate
62,New York,Oak Beach,8515336,+40.6400,-73.2950,Subordinate
62,New York,Babylon,8515421,+40.6850,-73.3150,Subordinate
62,New York,Gilgo Heading,8515764,+40.6200,-73.3950,Subordinate
62,New York,Amityville,8515864,+40.6550,-73.4183,Subordinate
62,New York,"Biltmore Shores, South Oyster Bay",8516055,+40.6667,-73.4683,Subordinate
62,New York,Jones Inlet (Point Lookout),8516385,+40.5867,-73.5783,Subordinate
62,New York,Deep Creek Meadow,8516225,+40.6033,-73.5250,Subordinate
